community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Rogers Park,"Rogers Park has a median household income of around $47,000, lower than Chicago's median. About 27% of residents live below poverty level. Many residents are cost-sensitive and need to carefully manage transportation expenses.","Given the income levels, residents have limited discretionary spending. Many are students or working-class families who need to balance basic needs with transportation costs. Higher sales taxes would notably impact household budgets.",High transit dependency with good access to CTA Red Line and bus services. About 35% of households don't own cars. Many residents commute to work/school using public transit. Walking and biking are common for local trips.,1. Prioritize low transit fares due to high transit dependency and lower incomes. 2. Moderate sales tax to maintain service quality while not overly burdening residents. 3. Support some driving fees to improve transit service and reduce congestion. 4. Balance between travel time improvements and cost burden. 5. Selected proposals that maintain transit affordability while providing service improvements. Ranked proposals that combine $0.75-$1.25 fares with moderate taxes and driving fees to benefit transit-dependent population while keeping costs manageable.,"[10, 11, 19, 1, 13]",10,11,19,1,13
West Ridge,"West Ridge has a median household income of around $54,000, slightly below Chicago's median. About 18% of residents live below poverty level. The community has a significant immigrant population with varying income levels",Many households have limited discretionary spending capacity. The area has many working-class and middle-class families who are price-sensitive to transportation costs and sales tax increases,"The area has moderate transit access with bus routes and is somewhat distant from L trains. About 30% of residents use public transit for commuting, while many depend on cars. The community has a significant elderly population who rely on both transit and driving",1. Prioritize lower sales tax (0.5%) to protect discretionary spending power of moderate-income residents. 2. Balance moderate transit fares ($1.25) with service quality improvements. 3. Support modest driving fees ($0.50) to improve transit without overly burdening car-dependent residents. 4. Consider travel time improvements for both modes given mixed transit-driving usage. 5. Avoid highest-cost combinations due to community's income constraints. Selected proposals balance affordability with service improvements,"[4, 1, 13, 10, 7]",4,1,13,10,7
Uptown,"Uptown has a mixed-income population with median household income around $53,000. About 23% of residents live below poverty level. Many residents are cost-sensitive when it comes to transportation expenses.","Given the income levels, many residents have limited discretionary spending. Higher sales taxes would impact household budgets significantly. The area has many renters and working-class families who need to carefully balance transportation costs with other essential expenses.","Uptown has excellent transit access with Red Line L, multiple bus routes, and is very walkable. About 35% of residents use public transit for commuting, 35% drive, and others walk or bike. The area has good proximity to jobs and services via transit.",1. Prioritize lower transit fares and moderate taxes given mixed-income population and high transit usage. 2. Some driving fees acceptable to improve transit service and reduce congestion since many residents rely on transit. 3. Balance between transit improvement and cost burden on residents. 4. Favor proposals that reduce transit travel times to benefit large transit-dependent population. 5. Consider proposals that maintain reasonable driving costs for those who need to drive while encouraging transit use.,"[10, 11, 1, 4, 13]",10,11,1,4,13
Lincoln Square,"Lincoln Square has a median household income of around $77,000, higher than Chicago's average. About 10% of residents live below poverty level. The community has a mix of middle and upper-middle-class households with moderate to good disposable income.","Residents have moderate discretionary spending power, with many local businesses, restaurants, and shopping areas. The community supports a vibrant commercial district along Lincoln Avenue. Higher sales taxes would impact discretionary spending but not severely given the income levels.","Well-served by public transit with Brown Line stations at Western and Rockwell, multiple bus routes, and good road connectivity. About 35% of residents use public transit for commuting, 45% drive, and others walk or bike. The area has good walkability scores and mixed-use development patterns.",1. Prioritize balanced policies that maintain good transit service while keeping costs moderate given the mixed-mode transportation usage. 2. Consider moderate tax rates that won't overly burden discretionary spending but support transit. 3. Support driving fees to reduce congestion while improving transit times. 4. Look for proposals that reduce transit travel times to benefit the significant transit-using population. 5. Choose options that maintain reasonable driving costs for the driving population while encouraging transit use. Selected proposals balance these factors while considering the community's mixed transportation needs and moderate-to-good income levels.,"[14, 13, 23, 22, 11]",14,13,23,22,11
North Center,"North Center is an affluent area with median household income around $110,000, significantly above Chicago's average. Residents have relatively high disposable income and can generally afford higher transportation costs","Area has high discretionary spending power, with many residents spending on dining, entertainment, and retail. Higher sales tax would have moderate impact but not severely constrain spending habits","Well-served by Brown Line, multiple bus routes, and major arterial roads. 71% of residents commute by car, 21% by transit. Area has good transportation options and infrastructure for both modes","1. Given high income levels, prioritize time savings over cost sensitivity
2. Support policies that improve both transit and driving times since area uses both modes heavily
3. Can absorb higher fees/taxes to fund better service
4. Favor balanced approaches that improve transit without severely penalizing driving
5. Higher driver fees acceptable as they reduce congestion and improve transit funding","[23, 14, 26, 20, 11]",23,14,26,20,11
Lake View,"Lake View is an affluent area with median household income around $90,000. Residents have relatively high disposable income and can generally afford higher transportation costs. Many residents work in professional services and have stable incomes.","The area has high discretionary spending power, with numerous restaurants, entertainment venues, and retail shops. Residents frequently engage in recreational activities and dining out. Higher sales taxes would have a moderate but not severe impact on consumption patterns.","Lake View has excellent transit access with multiple L lines (Red, Brown, Purple) and numerous bus routes. High walkability score and bike-friendly infrastructure. Many residents commute to downtown. Car ownership is lower than city average, with many households being car-free by choice.",1. Prioritize policies that improve transit service given high transit usage in area. 2. Higher income means community can tolerate some fare/tax increases if they lead to better service. 3. Support driving fees to reduce congestion and fund transit since many residents don't drive. 4. Balance between service improvements and cost increases since many young professionals are price-sensitive. 5. Favor policies that reduce transit travel times most significantly since many residents rely on transit for commuting.,"[26, 23, 20, 14, 11]",26,23,20,14,11
Lincoln Park,"Lincoln Park is one of Chicago's most affluent neighborhoods with median household income over $115,000. Residents have high disposable income and can generally afford higher transportation costs","High levels of discretionary spending on retail, dining, and entertainment. The community has significant retail corridors and residents tend to make frequent trips for shopping and leisure activities","Well-served by public transit with multiple L lines (Brown, Purple, Red) and bus routes. High car ownership rates but also high walkability and bikeability. Many residents commute downtown for work","1. Given high incomes, can tolerate higher fees/taxes to fund better service. 2. Many residents use both transit and cars, so balanced approach needed. 3. Reducing congestion important for quality of life. 4. Higher driver fees acceptable to encourage transit use. 5. Prefer policies that significantly improve transit times. Selected policies that combine moderate-to-high driver fees with moderate transit fares and taxes to optimize both modes while funding improvements. Ranked based on best overall travel time improvements while keeping costs reasonable for mixed-mode usage","[23, 14, 5, 20, 11]",23,14,5,20,11
Near North Side,"Near North Side has one of the highest median household incomes in Chicago (over $100,000). Residents have significant disposable income and can generally afford higher transportation costs without major impact on their lifestyle","High levels of discretionary spending, with residents frequently engaging in shopping, dining, and entertainment. The area has numerous luxury retail stores and high-end restaurants. Higher sales tax would have minimal impact on consumption patterns","Excellent transit access with multiple L lines (Red, Brown, Purple), numerous bus routes, and high walkability. Also has good road infrastructure but experiences heavy congestion. Many residents have options between driving and transit","1. Given high income levels, prioritize time savings over cost savings. 2. Support policies that reduce congestion since area is densely populated with high traffic. 3. Higher driver fees acceptable to encourage transit use and reduce congestion. 4. Can absorb higher sales tax given affluent population. 5. Prefer balanced approach between transit improvement and driving efficiency. Selected proposals that combine higher driver fees with moderate-to-high sales tax to fund transit improvements, while keeping transit fares reasonable to encourage usage","[26, 23, 20, 14, 11]",26,23,20,14,11
Edison Park,"Edison Park is an affluent community with median household income around $87,000, significantly higher than Chicago's average. Most residents are middle to upper-middle class with good disposable income","Residents have substantial discretionary spending power, with higher than average retail spending. The community can generally absorb moderate increases in transportation costs without severe impact on quality of life","Located on far northwest side, heavily car-dependent area with longer commute times to downtown. Has Metra access but limited CTA coverage. Over 90% of households own cars, with many being two-car households. Most residents drive for daily activities","1. Given high car ownership and dependency, policies that improve driving times are important but community can afford some driving fees. 2. Higher income means sales tax impact is manageable. 3. Transit improvements still valuable as secondary option. 4. Selected policies balance driving efficiency with sustainable funding for transit. 5. Ranked proposals that maintain reasonable driving costs while improving both car and transit times. 6. Prioritized options with moderate rather than highest fees given car-dependency","[14, 5, 23, 13, 4]",14,5,23,13,4
Norwood Park,"Norwood Park is an upper-middle-class area with median household income around $82,000. Residents have relatively high disposable income compared to Chicago average, making them less sensitive to moderate fare/fee increases",High levels of discretionary spending capacity. Many households own cars and can afford higher transportation costs. The 1-1.5% sales tax impact would be noticeable but manageable given income levels,Located on far northwest side with good access to Blue Line and Metra. High car ownership rates (~90% households have cars). Most residents drive but want transit options. Average commute times are important given distance from downtown,"1. Prioritize policies that reduce travel times while keeping costs reasonable given income levels. 2. Community can absorb moderate fee increases if they improve service. 3. Balance between driving and transit important as most use cars but want transit options. 4. Selected policies that maintain good transit service while implementing moderate driving fees to reduce congestion. 5. Higher tax rates acceptable if they significantly improve travel times. Selected proposals 14, 23, 5, 13, and 22 as they offer best balance of reduced travel times, moderate cost increases, and improved transit service","[14, 23, 5, 13, 22]",14,23,5,13,22
