community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Rogers Park,"Rogers Park has a median income of $57,591, with 44.8% of households earning less than $50,000 annually. This suggests many residents have limited disposable income and would be sensitive to increased transportation costs.","Given the income distribution and cost of living in Chicago, many Rogers Park residents likely have modest discretionary spending capacity. Higher sales taxes would notably impact their purchasing power.","The community has high transit usage (28.1%) and low car ownership (37.2% have no vehicle). The area is served by CTA Red Line and multiple bus routes, making transit accessibility crucial for residents.",1. Prioritized lower transit fares ($0.75) given high transit dependency and lower incomes. 2. Favored moderate driving fees ($0.50-$1.00) to improve transit service without overly burdening drivers. 3. Selected lower sales tax rates (0.5-1.0%) to protect discretionary spending. 4. Balanced travel time improvements with cost impacts. 5. Considered that 39.3% drive alone and need reasonable driving costs.,"[1, 2, 10, 11, 4]",1,2,10,11,4
West Ridge,"Mixed income levels with median household income of $68,091. 37.4% households earn less than $50,000, while 32.5% earn over $100,000. Per capita income is $32,132, suggesting moderate disposable income overall.","Given the income distribution and household sizes (average 2.9 people), many families likely have limited discretionary spending. Higher taxes and fees would impact the 37.4% lower-income households more significantly.","59.2% drive alone and 10% carpool, while 12.5% use transit. 13.3% have no vehicle, making transit essential. Good mix of transportation needs with 86.6% having at least one vehicle but significant transit dependency.","1. Prioritize lower sales tax (0.5%) to protect discretionary spending for mixed-income population. 2. Moderate transit fares ($1.25) to maintain service while keeping transit affordable for 13.3% car-less households. 3. Include some driving fees to improve transit service and reduce congestion, but not highest level given high car dependency. 4. Balance travel times for both modes since community uses both significantly. 5. Consider proposals that reduce transit travel time from current 58.8 minutes.","[4, 5, 13, 1, 10]",4,5,13,1,10
Uptown,"Mixed income levels with 38.6% earning under $50k and 31% earning over $100k. Median income of $66,871 suggests moderate disposable income, but significant income disparity exists","Given the high percentage of lower-income households (23.2% under $25k) and moderate median income, many residents would be sensitive to increased taxes and fees affecting discretionary spending","Strong transit orientation with 34.9% using transit for work commute. 42.1% households have no vehicle, indicating high transit dependency. Good existing transit access with multiple bus and rail options",1. Prioritized lower transit fares due to high transit dependency and lower-income population. 2. Moderate tax rates to balance service improvements with impact on discretionary spending. 3. Support for driving fees to improve transit service while affecting minority of car owners. 4. Focused on proposals that reduce transit travel time most significantly. 5. Considered balance between car and transit travel times given mixed-mode usage,"[20, 11, 2, 23, 14]",20,11,2,23,14
Lincoln Square,"Lincoln Square has a relatively high median income of $90,569, with 45.2% of households earning over $100,000. However, there's income diversity with 25.7% earning under $50,000, suggesting varying levels of disposable income across the community","With a per capita income of $57,351, residents have moderate to high discretionary spending power. The community can generally absorb moderate transportation costs, but increased taxes would impact discretionary spending, especially for lower-income households","The area shows diverse transportation usage: 26% use transit, 39.1% drive alone, and 21.6% have no vehicle. Good mix of transit and driving accessibility, with 74.5% of households having at least one car","1. Prioritized balanced policies that maintain transit affordability while improving service
2. Considered the significant transit-dependent population (21.6% no vehicle)
3. Acknowledged the large driving population needs reasonable costs
4. Focused on proposals with moderate tax increases to maintain service quality
5. Selected options that reduce transit travel times without excessive cost burden","[13, 4, 22, 10, 19]",13,4,22,10,19
North Center,"North Center is an affluent area with median income of $148,585 and 67.4% of households earning over $100,000. This suggests residents have significant disposable income and can generally afford higher transportation costs","With high incomes, residents likely have substantial discretionary spending. A sales tax increase would impact this spending, but the community could better absorb these costs compared to lower-income areas","The area has diverse transportation usage: 38.6% drive alone, 20% use transit, and 29.2% work from home. 87.4% of households have at least one vehicle, showing good car access. The community would benefit from both improved driving and transit conditions","1. Given high incomes, prioritize policies that optimize travel times over cost savings. 2. Balance improvements for both drivers and transit users since both modes are significant. 3. Higher tax rates are acceptable if they yield better service, given income levels. 4. Moderate driving fees can help fund improvements while managing congestion. 5. Selected policies that reduce transit times below 52 minutes and driving times below 19 minutes","[23, 14, 26, 20, 11]",23,14,26,20,11
Lake View,"Lake View is a relatively affluent area with median income of $100,625 and 50.2% of households making over $100,000. This suggests residents have higher disposable income and can better absorb transportation costs compared to other areas.","With high per capita income ($87,044), residents likely have significant discretionary spending. The 1-1.5% sales tax impact would be notable given higher consumption levels, but not severely restrictive for most residents.","The area has excellent transit access with 36.9% using transit for commuting. 39.6% of households don't own vehicles, indicating strong transit dependency. However, 24.8% drive alone, suggesting need to balance both modes.","1. Given high transit usage and car-free households, prioritized proposals that improve transit times while keeping fares moderate. 2. Higher sales tax and driving fees are acceptable given income levels and can fund better service. 3. Balanced impact on both transit users and drivers since area has mix of both. 4. Proposals with moderate fares ($1.25) preferred over highest fares to maintain transit affordability. 5. Selected options that significantly reduce transit travel times from current 58.8 minutes.","[23, 14, 22, 13, 20]",23,14,22,13,20
Lincoln Park,"Lincoln Park is an affluent area with median household income of $134,277 and 61.3% of households earning over $100,000. This suggests residents have significant disposable income and can absorb moderate increases in transportation costs","With high per capita income ($109,538), residents likely have substantial discretionary spending. A sales tax increase would affect this but may be less impactful than in lower-income areas","The area has high transit usage (33.4%) and low car dependency (32.3% no vehicle, 47.8% one vehicle). Good mix of transportation options with significant walk/bike share (9.3%). Many residents work from home (24%)",1. Prioritized policies that improve transit times given high transit usage. 2. Moderate fare increases acceptable given high income levels. 3. Support for driving fees to reduce congestion and fund transit. 4. Balanced approach to sales tax given high discretionary spending. 5. Considered that many residents use multiple modes of transportation,"[23, 14, 26, 20, 11]",23,14,26,20,11
Near North Side,"High disposable income with median household income of $121,562 and 58.8% of households making over $100,000. This suggests residents can generally absorb higher transportation costs and taxes",High discretionary spending capacity given the affluent population. The 1.5% tax would impact larger purchases but is manageable for most residents given their income levels,"Excellent multi-modal accessibility with 45.6% no-car households, high transit usage (18.9%), and significant walk/bike share (27.6%). Area has good transit infrastructure and many residents rely on non-car transportation","1. Given high income levels, prioritized policies that improve transit service and reduce congestion over cost savings. 2. Large car-free population benefits from better transit service. 3. High walking/biking share suggests support for reducing car traffic. 4. Selected policies with higher driver fees to discourage driving and fund transit improvements. 5. Higher tax rates acceptable given income levels if they improve service. 6. Ranked proposals that significantly reduce transit travel times while accepting moderate cost increases","[26, 23, 20, 14, 11]",26,23,20,14,11
Edison Park,"Edison Park is a relatively affluent community with median income of $120,024 and 59.4% of households earning over $100,000. This suggests residents have significant disposable income and can absorb moderate transportation cost increases","With high per capita income ($57,872), residents likely have substantial discretionary spending. A sales tax increase would affect this spending, but impact would be manageable given income levels","Car-centric community with 93.5% of households owning at least one vehicle and 69.1% driving alone to work. Only 8.4% use transit, suggesting good road access but limited transit dependence","1. Given high car ownership and usage, prioritize policies that improve driving times while keeping driving costs moderate. 2. Community can afford higher sales tax for better overall transportation. 3. Transit improvements less critical but should maintain reasonable service levels. 4. Balance between driving efficiency and cost increases important for majority car-commuting population. 5. Higher income levels allow for some fee increases if they significantly improve travel times","[14, 5, 23, 13, 4]",14,5,23,13,4
Norwood Park,"Norwood Park is relatively affluent with median household income of $107,122 and per capita income of $49,303. 53.4% of households earn over $100,000 annually, suggesting significant disposable income",Higher income levels indicate substantial discretionary spending capacity. The community can likely absorb moderate increases in transportation costs without severe impact on quality of life,"71.1% drive alone to work, 7.3% use transit, and 92.3% of households own at least one vehicle. The area is car-dependent but has some transit access. Travel time differences between car (21 min) and transit (58.8 min) are significant","1. Given high car dependency and income levels, policies that maintain reasonable driving costs while improving transit are preferred. 2. Community can handle moderate tax increases if they improve service. 3. Moderate driving fees could help fund transit without severely impacting drivers. 4. Lower transit fares less critical given income levels. 5. Selected policies balance travel time improvements with reasonable cost increases. 6. Proposal 14 ranked first as it offers good car/transit times with moderate tax/fee increases. 7. Following choices maintain similar balance while varying tax/fee combinations","[14, 23, 5, 13, 4]",14,23,5,13,4
Jefferson Park,"Jefferson Park has a relatively high median household income of $90,740, with 44.1% of households earning over $100,000. This suggests residents have moderate to high disposable income and can absorb some transportation cost increases.","With higher incomes and an average household size of 2.5, residents likely have significant discretionary spending. However, about 27% earn under $50,000 annually, so cost sensitivity varies across the community.","The area has good car access (90.2% of households have at least one vehicle) and transit options (13.4% use transit for commuting). 61.7% drive alone to work, suggesting strong preference for driving despite transit availability.",1. Prioritized proposals with moderate tax rates (1%) to balance transit funding and household tax burden. 2. Favored moderate driving fees ($0.50) to reduce congestion while not overly burdening the car-dependent majority. 3. Selected lower transit fares ($0.75-$1.25) to encourage transit use while considering lower-income residents. 4. Focused on options that reduce both car and transit travel times. 5. Balanced the community's car-centric nature with the need to support transit improvements.,"[13, 10, 14, 4, 11]",13,10,14,4,11
Forest Glen,"Forest Glen is an affluent community with median household income of $139,046 and 63% of households earning over $100,000. This suggests residents have significant disposable income and can absorb moderate increases in transportation costs","With high per capita income ($70,693), residents likely have substantial discretionary spending. A sales tax increase would affect this but not severely given the wealth levels. Most households can afford multiple vehicles (62.3% own 2+ cars)","The community is car-dependent with 68.1% driving (alone or carpool) to work, only 10.5% using transit, and 17.2% working from home. Good road access but limited transit usage suggests improving transit service could benefit the area","1. Given high car ownership and usage, policies that reduce car travel time while moderately increasing costs are acceptable. 2. Higher sales tax and driving fees can be absorbed by the wealthy population. 3. Improved transit service could benefit the 10.5% transit users and potentially attract more riders. 4. Work-from-home population (17.2%) means many residents aren't daily commuters. 5. Selected policies balance car time savings with moderate cost increases and transit improvements","[14, 23, 5, 11, 20]",14,23,5,11,20
North Park,"North Park has a mixed income profile with median income of $74,649. About 34.3% of households earn less than $50,000, while 38.7% earn over $100,000. This suggests a need to balance policies that don't overly burden lower-income residents while maintaining service quality.","With per capita income of $37,156, residents have moderate discretionary spending power. Higher sales taxes would impact all residents, particularly the 34.3% lower-income households who have less flexible budgets for essential purchases.","The community has relatively high car ownership (85.4% have at least one vehicle) with 61.1% driving to work. However, 17.5% use transit and 14.6% have no vehicle, indicating a significant transit-dependent population. Mean commute time is 34 minutes.",1. Prioritized proposals with moderate tax rates to balance revenue needs with household budget impacts. 2. Favored options with lower transit fares to support transit-dependent residents while maintaining service quality. 3. Supported moderate driving fees to reduce congestion and fund transit without excessive burden on majority who drive. 4. Considered travel time improvements for both transit and driving given mixed transportation needs. 5. Selected policies that provide best overall time savings while keeping costs reasonable for both modes.,"[13, 10, 4, 19, 22]",13,10,4,19,22
