community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Willowbrook,"Willowbrook residents have relatively high disposable incomes with a median household income above Houston's average, as it is predominantly a middle to upper-middle-class suburban area.","The area has significant discretionary spending capacity with numerous retail centers and shopping destinations, including Willowbrook Mall, suggesting residents can absorb moderate transportation cost increases.","The area is heavily car-dependent with limited public transit options, primarily served by park-and-ride services to downtown, and most residents rely on personal vehicles for daily transportation.","1) Given the car-dependent nature and higher incomes, policies with moderate driving fees are acceptable if they improve traffic flow 2) Lower sales tax rates are preferred since residents make significant retail purchases 3) Transit fares are less critical since transit usage is limited 4) Prioritized policies that reduce car travel times while keeping overall costs reasonable 5) Selected options that balance revenue generation for transit improvements while maintaining reasonable driving costs","[3, 2, 10, 4, 19]",3,2,10,4,19
Greater Greenspoint,"Greater Greenspoint has a relatively low median household income around $35,000, with many residents living below the poverty line and facing significant financial constraints.","Residents have limited discretionary spending capacity, with a high proportion of income going to essential needs like housing and transportation.",The area has moderate transit access with bus services but many residents rely on personal vehicles due to dispersed job locations and limited transit coverage.,"1. Prioritized lower transit fares ($0.75) to help low-income residents who depend on transit. 2. Favored moderate sales tax (1%) to balance transit funding with impact on limited disposable income. 3. Supported moderate driving fees ($0.50) to improve transit without overly burdening car-dependent workers. 4. Selected policies that reduce transit travel times to under 57 minutes to improve accessibility. 5. Considered combined cost burden of taxes, fares, and fees on low-income households.","[7, 16, 0, 8, 1]",7,16,0,8,1
Carverdale,"Carverdale has a relatively low median household income around $35,000, with many residents working in industrial and service sectors, indicating limited disposable income.","Given the low income levels and high proportion of essential expenses, residents have minimal discretionary spending capacity and are sensitive to additional transportation costs.","The area has limited public transit access with infrequent bus service, high car dependency for work commutes to industrial areas, and relatively long travel times to major employment centers.","1. Prioritized lower tax rates (0.5%) to minimize impact on limited discretionary income. 2. Favored lower transit fares ($0.75) to make public transit more affordable for transit-dependent residents. 3. Considered moderate driving fees ($0.50) to improve transit service without overly burdening car-dependent workers. 4. Balanced travel time improvements with cost impacts, recognizing both transit users and drivers in the community. 5. Selected proposals that offer the best combination of reduced travel times while keeping overall costs manageable for low-income residents.","[0, 7, 2, 16, 10]",0,7,2,16,10
Fairbanks / Northwest Crossing,"The neighborhood has a median household income of around $45,000, which is below Houston's median, indicating residents are price-sensitive to transportation costs.","With modest income levels and higher cost of living concerns, residents have limited discretionary spending capacity and are sensitive to both sales tax increases and transportation fees.","The area has limited transit service with longer travel times, and most residents rely heavily on personal vehicles for commuting and daily activities.","1. Prioritized policies with lower sales tax (0.5%) to minimize impact on overall purchasing power. 2. Favored moderate driving fees ($0.50) over high fees ($1.00) to balance revenue generation with affordability. 3. Selected proposals with lower transit fares ($0.75-$1.25) to encourage transit use while keeping it affordable. 4. Considered travel time improvements, particularly for driving, as most residents are car-dependent. 5. Balanced the need for transit system improvements with the community's limited ability to absorb higher costs.","[0, 2, 7, 10, 4]",0,2,7,10,4
Greater Inwood,"Greater Inwood has a median household income of around $45,000, which is lower than Houston's average, indicating residents are more sensitive to transportation costs.","With modest income levels and higher poverty rates than city average, residents have limited discretionary spending capacity and are price-sensitive to both sales tax and transit fares.","The area has moderate transit access with some bus routes but is largely car-dependent, with about 80% of residents commuting by car and facing significant travel times to employment centers.","1) Prioritized lower transit fares ($0.75) to help transit-dependent residents while keeping sales tax moderate. 2) Selected policies with moderate driving fees ($0.50) to improve transit service without overly burdening drivers. 3) Balanced travel time improvements with cost impacts, favoring options that reduce transit travel times below 57 minutes. 4) Considered the community's limited discretionary income when evaluating sales tax impacts. 5) Chose options that provide meaningful travel time improvements while minimizing total cost burden on residents.","[7, 16, 0, 8, 17]",7,16,0,8,17
Acres Home,"Acres Home has a median household income of approximately $35,000, which is significantly lower than Houston's average, indicating limited disposable income for transportation costs.","With a high poverty rate of around 25% and many households being cost-burdened by housing expenses, residents have very limited discretionary spending capacity.","The area has moderate bus service but limited rail access, with many residents dependent on personal vehicles despite the financial burden, and approximately 20% of households lacking vehicle access.","1) Given low income levels, prioritized proposals with lower transit fares and sales tax burden. 2) Selected options that improve transit times to benefit both transit-dependent and cost-conscious car users. 3) Supported moderate driving fees to fund transit improvements without overly burdening drivers. 4) Balanced need for transit investment with community's limited ability to pay higher taxes. 5) Favored proposals that reduce both transit and driving times to provide flexibility for mixed-mode households.","[6, 0, 7, 15, 2]",6,0,7,15,2
Hidden Valley,"Hidden Valley residents have moderate to low disposable income with a median household income around $45,000, indicating sensitivity to transportation costs and taxes.","Limited discretionary spending capacity means residents are price-sensitive to both transit fares and driving fees, with most household budgets primarily allocated to essential needs.","The neighborhood has moderate transit access with bus routes but relies heavily on personal vehicles, with about 85% of residents commuting by car due to limited transit coverage.","1) Given high car dependency but modest incomes, prioritized policies with lower driving fees and moderate taxes to avoid overburdening drivers. 2) Selected proposals with lower transit fares to encourage transit use while keeping it affordable. 3) Balanced travel time improvements against cost impacts, favoring options that reduce car travel times without excessive fees. 4) Considered the 0.5-1.0% tax range as most sustainable for the community's income level. 5) Prioritized proposals that offer meaningful travel time improvements while minimizing financial burden on residents.","[6, 0, 7, 2, 9]",6,0,7,2,9
Westbranch,"Westbranch is a middle-income neighborhood with median household income around $45,000, indicating moderate sensitivity to transportation costs and taxes.","Residents have modest discretionary spending capacity, with typical household retail spending around $20,000 annually, making them somewhat sensitive to sales tax changes.","The neighborhood has moderate transit access with bus routes but relies heavily on personal vehicles, with about 85% of residents commuting by car.","1) Given moderate income levels, prioritized lower tax rates (0.5-1.0%) to preserve discretionary spending. 2) With high car dependency, favored proposals with moderate driving fees ($0.50) that improve transit without excessive burden. 3) Selected moderate transit fares ($1.25) that balance service quality with affordability. 4) Prioritized proposals showing significant travel time improvements for both modes. 5) Ranked proposals that offer best combined benefits in reduced travel times while keeping costs manageable for middle-income residents.","[10, 2, 7, 19, 13]",10,2,7,19,13
Addicks / Park Ten,"Addicks / Park Ten residents have relatively high disposable income with a median household income above $100,000, indicating greater ability to absorb transportation costs.",The area's affluent population has significant discretionary spending capacity and tends to prioritize convenience and time savings over cost savings.,"The area is heavily car-dependent with limited transit access, featuring major employment centers and retail along I-10 corridor where most residents rely on personal vehicles.","1) Given high car dependency and income levels, policies that reduce car travel time are prioritized 2) Higher driver fees are acceptable as they reduce congestion and residents can afford them 3) Lower transit fares are preferred to encourage transit adoption despite limited current usage 4) Moderate tax rates balance service improvements with tax burden 5) Selected policies that provide best car travel time reductions while maintaining reasonable transit options for workers","[17, 8, 1, 20, 11]",17,8,1,20,11
Spring Branch West,"Spring Branch West has a median household income of around $55,000, placing it in the middle-income range for Houston, with about 15% of residents below poverty level.","Residents have moderate discretionary spending capacity, with most households spending significant portions on housing, transportation, and basic necessities, leaving limited flexibility for additional fees or taxes.","The area is primarily car-dependent with limited public transit options, featuring some bus routes but no direct rail access, and most residents (approximately 85%) rely on personal vehicles for commuting.",1) Prioritized policies with lower sales tax (0.5%) to protect discretionary income given the middle-income demographic 2) Favored moderate driving fees ($0.50) over high fees ($1.00) since most residents are car-dependent 3) Supported lower transit fares ($0.75-$1.25) to encourage transit use while maintaining affordability 4) Balanced travel time improvements with cost impacts 5) Considered the community's car-dependent nature while promoting gradual transit adoption,"[2, 0, 4, 10, 7]",2,0,4,10,7
Langwood,"Langwood is a middle-income neighborhood with median household income around $55,000, indicating moderate disposable income levels for transportation expenses.",Residents have moderate discretionary spending capacity but are price-sensitive to additional taxes and fees that could impact their household budgets.,"The neighborhood has good car accessibility with proximity to Highway 290 but limited transit options, with most residents relying on personal vehicles for commuting.","1) Given car-dependent nature, prioritize proposals with lower driving fees and taxes to minimize impact on household budgets. 2) Consider moderate transit improvements without excessive cost burden. 3) Balance between driving cost increases and transit time improvements. 4) Favor proposals that maintain reasonable car travel times since most residents drive. 5) Select options that don't overly burden household budgets with high sales tax.","[6, 9, 12, 0, 7]",6,9,12,0,7
Central Northwest,"Central Northwest has a moderate median household income around $45,000, with about 25% of residents living below poverty level, indicating limited disposable income for many residents.","Given the income levels and cost of living, residents have modest discretionary spending capacity and are sensitive to additional transportation costs and taxes.","The area has decent bus service along major corridors but many residents rely on personal vehicles, with about 75% of commuters driving alone and 15% using transit.",1) Prioritized proposals with lower transit fares ($0.75) to help transit-dependent residents while maintaining service quality. 2) Favored moderate tax rates (1%) to balance revenue needs with household budget impacts. 3) Supported modest driving fees ($0.50) to encourage transit use without overly burdening drivers. 4) Considered travel time improvements for both modes given mixed transit/driving usage. 5) Ranked proposals that offer best combined benefits in reduced travel times while keeping costs manageable for lower-income residents.,"[7, 0, 16, 10, 19]",7,0,16,10,19
Independence Heights,"Independence Heights has a relatively low median household income of around $33,000, with approximately 30% of residents living below the poverty line, making residents particularly sensitive to transportation costs.","Given the low income levels, residents have limited discretionary spending capacity and must carefully balance essential needs with transportation expenses.","The neighborhood has moderate transit access with several bus routes but many residents rely on personal vehicles, with about 75% of households owning at least one car, while facing relatively long commute times to employment centers.",1) Prioritized proposals with lower transit fares ($0.75) to make public transit more affordable for low-income residents. 2) Favored moderate sales tax rates (1%) to balance transit funding with impact on household budgets. 3) Selected proposals with moderate driving fees ($0.50) to encourage transit use while not overly burdening car-dependent residents. 4) Considered travel time improvements for both transit and car users. 5) Focused on proposals that provide the best balance of accessibility and affordability for this lower-income community.,"[7, 0, 16, 8, 1]",7,0,16,8,1
